u,v,unweighted_hops,weighted_cost,path_length_sum,euclidean,tortuosity
4,94,inf,inf,inf,322.4422428901027,inf
4,95,inf,inf,inf,382.7335888055816,inf
4,96,inf,inf,inf,116.76472069936193,inf
4,97,inf,inf,inf,360.0013888862097,inf
4,98,inf,inf,inf,201.12185361118767,inf
4,99,inf,inf,inf,591.6088234636127,inf
4,100,inf,inf,inf,311.9054343867705,inf
4,101,inf,inf,inf,190.59118552545917,inf
4,102,inf,inf,inf,302.1671722738921,inf
4,103,inf,inf,inf,613.5698819205519,inf
4,104,inf,inf,inf,205.4288197892399,inf
4,105,inf,inf,inf,682.7195617528474,inf
4,106,inf,inf,inf,96.0,inf
4,107,inf,inf,inf,337.6758800980609,inf
4,108,inf,inf,inf,400.40979009010255,inf
4,109,inf,inf,inf,588.0986311835796,inf
4,110,inf,inf,inf,274.5906043549196,inf
4,111,inf,inf,inf,678.7230657639388,inf
5,6,inf,inf,inf,518.0057914734159,inf
5,7,inf,inf,inf,143.42245291445826,inf
5,8,inf,inf,inf,529.1360883553493,inf
5,9,inf,inf,inf,244.47699278255203,inf
5,10,inf,inf,inf,435.99311921176,inf
5,11,inf,inf,inf,301.0813843464919,inf
5,12,inf,inf,inf,728.214940797015,inf
5,13,inf,inf,inf,596.0914359391519,inf
5,14,inf,inf,inf,189.52836199366047,inf
5,15,inf,inf,inf,712.2113450374123,inf
5,16,inf,inf,inf,589.8626958877803,inf
5,17,inf,inf,inf,353.5647041207592,inf
5,18,inf,inf,inf,77.52418977325722,inf
5,19,inf,inf,inf,387.9304061297593,inf
5,20,inf,inf,inf,260.76809620810593,inf
5,21,inf,inf,inf,442.00452486371677,inf
5,22,inf,inf,inf,248.60008045050992,inf
